voltage
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08246
3.08334
3.0841
3.08477
3.08536
3.0859
3.08639
3.08684
3.08725
3.08765
3.08801
3.08835
3.08868
3.08898
3.08928
3.08955
3.08981
3.09006
3.09031
3.09031
3.09053
3.09075
3.09096
3.09116
3.09136
3.09154
3.09172
3.09189
3.09205
3.09222
3.09237
3.09251
3.09266
3.0928
3.09293
3.09307
3.09319
3.09331
3.09343
3.09354
3.09365
3.09376
3.09386
3.09396
3.09407
3.09416
3.09425
3.09425
3.09434
3.09443
3.09451
3.09459
3.09467
3.09476
3.09483
3.09491
3.09498
3.09504
3.09511
3.09518
3.09525
3.09531
3.09537
3.09543
3.09549
3.09555
3.0956
3.09565
3.09571
3.09576
3.09581
3.09586
3.09591
3.09595
3.096
3.096
3.09604
3.09609
3.09613
3.09617
3.09622
3.09626
3.0963
3.09634
3.09637
3.09641
3.09645
3.09649
3.09652
3.09654
3.09658
3.09662
3.09665
3.09668
3.09672
3.09675
3.09677
3.0968
3.09683
3.09686
3.09688
3.09692
3.09694
3.09694
3.09697
3.09699
3.09701
3.09704
3.09706
3.09709
3.09711
3.09713
3.09715
3.09718
3.09719
3.09722
3.09725
3.09726
3.09728
3.0973
3.09732
3.09735
3.09736
3.09738
3.0974
3.09742
3.09744
3.09745
3.09747
3.09747
3.0975
3.09751
3.09753
3.09754
3.09756
3.09757
3.09759
3.09761
3.09762
3.09764
3.09765
3.09766
3.09768
3.0977
3.09771
3.09773
3.09773
3.09775
3.09777
3.09778
3.09779
3.0978
3.09782
3.09783
3.09785
3.09785
3.09787
3.09787
3.09788
3.0979
3.09792
3.09792
3.09794
3.09795
3.09795
3.09797
3.09798
3.09799
3.098
3.09801
3.09802
3.09803
3.09804
3.09806
3.09806
3.09807
3.09809
3.09809
3.0981
3.09811
3.09812
3.09813
3.09815
3.09816
3.09817
3.09817
3.09817
3.09819
3.09819
3.0982
3.09821
3.09822
3.09823
3.09824
3.09825
3.09826
3.09825
3.09827
3.09828
3.09829
3.09829
3.0983
3.09831
3.09833
3.09833
3.09834
3.09835
3.09836
3.09836
3.09837
